Total_Perf,Total_Price,Total_Energy,Num_Models
9.584937682145345,987120000.0,2175.0,2
9.317939899384378,998460000.0,1950.0,3
9.503542333308136,977670000.0,2175.0,3
0.0590465872156,188460000.0,300.0,1
0.433344251555846,146880000.0,600.0,1
8.631889608371756,887490000.0,1794.0,3
8.733001797307397,855090000.0,1823.0,3
9.445339388747511,986850000.0,2123.0,3
8.504975140047199,869130000.0,1575.0,3
9.089170593027454,920970000.0,1973.0,3
9.550053961215113,983070000.0,2175.0,3
8.570632710994648,822150000.0,1725.0,3
8.516431294985175,789480000.0,1725.0,2
8.37683300158734,789210000.0,1673.0,3
8.427432034064852,793260000.0,1650.0,3
8.020664205867282,723330000.0,1523.0,3
2.6388417865571476,272160000.0,446.0,2
7.896296202978154,753030000.0,1494.0,3
9.267254990887484,953910000.0,2048.0,3
2.0263916534388198,242811000.0,334.0,2
3.2599897536681017,308056230.0,585.0,2
7.777666145951438,705240000.0,1441.0,3
8.949572299629619,920700000.0,1921.0,3
0.144901610017888,183060000.0,315.0,2
7.443192908194544,676876230.0,1336.0,3
2.110236253537924,247860000.0,320.0,1
9.16614280195184,986310000.0,2019.0,3
8.872600090705232,855360000.0,1875.0,2
9.305741095349676,986580000.0,2071.0,3
0.5171888516549499,151929000.0,586.0,2
1.9425470533397162,237762000.0,348.0,2
7.633929216323581,779220000.0,1365.0,3
8.175492789773823,753570000.0,1598.0,3
0.8525672520513654,172125000.0,530.0,2
8.160348375284501,764100000.0,1500.0,2
6.21192647836932,803250000.0,824.0,3
0.9364118521504694,177174000.0,516.0,2
7.81147463192992,714136230.0,1440.0,3
9.371969563355083,950130000.0,2100.0,3
9.406853284285317,954180000.0,2100.0,2
0.6010334517540538,156978000.0,572.0,2
1.1879456524477812,192321000.0,474.0,2
2.756309682783642,277560000.0,474.0,2
1.1041010523486772,187272000.0,488.0,2
7.866751282891144,741960000.0,1441.0,3
5.046207177471507,469260000.0,910.0,2
9.05068448856526,888300000.0,1950.0,2
8.911086195167425,888030000.0,1898.0,3
4.72509049526737,402840000.0,1095.0,2
4.3323154190497775,375300000.0,960.0,2
5.117865571484963,430380000.0,1230.0,2
7.484069053558079,683100000.0,1382.0,3
5.542221816288308,506140380.0,1023.0,3
3.655723458221001,363444030.0,655.0,3
5.835818908681666,528280380.0,1082.0,3
6.945738953698337,933930000.0,974.0,3
6.6923629133177105,653400000.0,1205.0,3
4.165415900291432,402840000.0,733.0,2
1.439479452745093,207468000.0,432.0,2
3.9480849017779893,371250000.0,810.0,3
7.202595597436736,631610190.0,1350.0,2
4.006763838847035,390526920.0,710.0,3
1.271790252546885,197370000.0,460.0,2
3.695834908076964,346680000.0,665.0,3
6.643114800910411,849690000.0,1020.0,3
1.6071686529433005,217566000.0,404.0,2
7.111970571191009,658800000.0,1292.0,3
4.084265581563321,395410950.0,750.0,2
9.00434461269705,963900000.0,1800.0,3
9.337085842424852,946080000.0,2100.0,3
7.869438005492704,721710000.0,1471.0,3
0.9951458002637165,179874000.0,530.0,3
7.729839712094869,721440000.0,1419.0,3
5.9269984546515815,535680000.0,1087.0,2
5.754559617694238,729270000.0,720.0,3
3.8718188078980735,380700000.0,674.0,2
2.5213738903306537,266760000.0,418.0,2
8.326804866167786,795690000.0,1575.0,3
8.341949280657108,785160000.0,1673.0,3
8.648004064938227,817020000.0,1800.0,2
2.1798199753080194,250560000.0,426.0,3
2.815043630896889,280260000.0,488.0,2
9.22876888642529,921240000.0,2025.0,2
3.4967698858625806,319733460.0,680.0,3
0.6848780518531576,162027000.0,558.0,2
8.103655504883804,818100000.0,1455.0,3
2.580107838443901,269460000.0,432.0,2
8.198748603727312,756270000.0,1598.0,3
7.98217810140509,690660000.0,1500.0,1
3.3434312193974813,330480000.0,581.0,3
3.4609717637968527,327240000.0,620.0,3
7.957877497543398,835380000.0,1410.0,3
1.6910132530424047,222615000.0,390.0,2
3.1599267639228326,300643650.0,575.0,2
4.576626185257039,413100000.0,842.0,3
1.7421136838922622,227392920.0,440.0,3
1.3776046259668921,204201000.0,533.0,3
2.88251614637137,285173460.0,506.0,3
0.2649103026027353,165591000.0,465.0,2
7.590241418697035,721170000.0,1367.0,3
3.9830568083516003,388040760.0,723.0,3
8.980917046704796,880200000.0,1950.0,2
6.061943485600542,545506920.0,1123.0,3
2.448321113322751,336822300.0,310.0,2
7.254611269285359,618840000.0,1500.0,2
8.249433512224208,800820000.0,1500.0,2
8.315091083171659,753840000.0,1650.0,2
7.046735031536865,598320000.0,1500.0,2
6.40367734132883,591703650.0,1146.0,3
4.928957225763645,437940000.0,915.0,2
3.491395600796189,352620000.0,617.0,3
2.2331290365928425,253260000.0,394.0,3
3.621987200483761,360987300.0,646.0,3
6.75789807419352,581040000.0,1365.0,3
5.163747721870878,466020000.0,949.0,3
8.860972183728489,854010000.0,1875.0,3
3.0337203003351045,293030190.0,543.0,3
2.3463900576986068,265057110.0,383.0,2
3.284915215802866,301860000.0,600.0,1
7.284186634415915,689310000.0,1240.0,2
3.546765266614594,320220000.0,690.0,2
1.7788923463260176,229743000.0,738.0,3
6.124480754533161,591163650.0,1042.0,3
4.459012992684791,424980000.0,792.0,2
1.5462531599855542,221966730.0,343.0,3
8.768661971830985,845100000.0,1875.0,3
1.8587024532406122,232713000.0,362.0,2
0.3210549522537722,159354000.0,510.0,2
5.222409021811249,477360000.0,952.0,3
5.474749300813826,501226920.0,1005.0,3
4.4658289030545815,456030000.0,700.0,3
4.07046536823805,356940000.0,870.0,2
6.047137745974954,667736730.0,826.0,3
7.358549388159607,629100000.0,1500.0,2
6.485168854510484,760860000.0,876.0,3
5.6334013622582235,513540000.0,1028.0,2
8.926973258753474,969030000.0,1725.0,3
1.5125169022483138,219510000.0,334.0,2
4.505715269554115,525770190.0,765.0,3
8.42760378610362,874260000.0,1500.0,2
5.046279825644384,460620000.0,921.0,3
6.528665793208863,592920000.0,1171.0,3
2.9912454752366306,288360000.0,530.0,2
7.462271032275945,722250000.0,1315.0,3
2.2864380978776655,255960000.0,362.0,2
8.915259475757345,927180000.0,1800.0,3
4.695166796845473,442177110.0,855.0,3
6.389276835731143,570103650.0,1191.0,3
6.16193424710457,546480000.0,1143.0,3
1.3054135486742753,197721000.0,502.0,3
2.3772514634617483,260010000.0,406.0,3
6.906744941923455,662121000.0,1195.0,3
8.783600829784909,859140000.0,1800.0,3
5.281142969924495,480060000.0,966.0,3
1.3575602391930592,214730190.0,367.0,3
0.28362518581974755,163512000.0,480.0,2
4.224222496577556,396900000.0,758.0,3
4.400351692744421,413640000.0,789.0,3
8.516688923043327,910980000.0,1500.0,2
8.783686705804294,899640000.0,1725.0,3
0.7906924252731649,168858000.0,631.0,3
8.872685966724616,895860000.0,1800.0,3
7.563383221211585,689850000.0,1344.0,2
8.009036298890539,721980000.0,1523.0,3
7.042725524284645,612900000.0,1320.0,2
6.321804320256662,565190190.0,1173.0,3
5.457344814264237,488160000.0,1008.0,3
5.163675073698001,474660000.0,938.0,3
4.401569704452115,420037110.0,796.0,3
4.275717453198618,492210000.0,596.0,3
4.7863463428153885,449576730.0,860.0,3
6.288171785633297,542160000.0,1275.0,3
6.514192639438298,579960000.0,1205.0,2
4.87015062947752,443880000.0,890.0,3
3.109931383170819,300157110.0,565.0,2
7.101386824225015,624240000.0,1323.0,2
4.870077981304643,452520000.0,879.0,3
4.576553537084162,421740000.0,831.0,3
0.7405252924823829,215593650.0,350.0,2
1.5233240528441967,212517000.0,418.0,2
6.548001125416781,588856230.0,1204.0,3
1.3157297991886916,200934000.0,634.0,3
6.68094686185089,569700000.0,1410.0,3
9.480999563271098,976860000.0,2175.0,3
9.170801103580335,995490000.0,1875.0,3
5.332852931542744,645300000.0,668.0,2
3.57836701185047,341280000.0,637.0,3
2.40390599410416,261360000.0,390.0,2
3.343503867570359,321840000.0,592.0,3
3.808615317426322,338580000.0,780.0,2
3.7806392619281577,373300380.0,669.0,3
3.3958626235648834,343760760.0,605.0,3
8.071263238344796,727380000.0,1500.0,2
2.2451812844868857,257686920.0,356.0,2
5.976284780837679,520020000.0,1264.0,3
4.92881192941789,455220000.0,893.0,3
6.371059571501759,561463650.0,1250.0,3
6.446596874028907,687690000.0,928.0,2
8.594060276986905,905850000.0,1575.0,3
5.45727216609136,496800000.0,997.0,3
