Total_Perf,Total_Price,Total_Energy,Num_Models
0.0393270175615409,10368000.0,50.0,1
0.2137754373587979,26943300.0,75.0,1
0.0538268369909378,13203000.0,15.0,1
0.2021475303820538,25623000.0,75.0,1
0.0476603508948743,12933000.0,50.0,1
0.1701371916651969,40608000.0,50.0,1
0.0558311706854124,17247600.0,25.0,1
0.2312172978239142,28296000.0,75.0,1
0.0197183098591549,11124000.0,15.0,1
0.117229165091923,19683000.0,15.0,1
0.0544136914510317,14079690.0,50.0,1
0.0216672125777923,9396000.0,30.0,1
0.0371601703242712,11303280.0,15.0,1
0.3942433671798231,48573000.0,120.0,1
0.1642457607901433,15093000.0,30.0,1
0.065454743967682,17277300.0,15.0,1
0.0826540939135108,18873000.0,23.0,1
0.3318402664046292,30483000.0,120.0,1
0.2602870652657747,32373000.0,75.0,1
